GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7737001070017 100780               REXONA JAB ANTIBACTERIAL FRESH 72X125GR                                7791293003023 N               72 
7737001070017 100806               REXONA JAB ANTIBAC TONIC 72X125GR                                      7791293554433 N               72 
7737001070017 100807               REXONA JAB ANTIBAC SENSIVE 72X125G                                     7791293554440 N               72 
7737001070017 103534               SUN POLVO P/MAQ LV VAJ 12X1KG                                          7891038196802 N               12 
7737001070017 103745               HUGGIES LITTLE SWIMMERS DISNEY GDE8X10UN                                 36000183450 N                8 
7737001070017 104112               HUGGIES LITTLE SWIMMERS DISNEY PEQ8X12UN                                 36000183399 N                8 
7737001070017 104115               HUGGIES LITTLE SWIMMERS DISNEY MED8X11UN                                 36000183429 N                8 
7737001070017 106101               CIF CREM C/LVDINA 12X750GR                                             7791290780606 N               12 
7737001070017 107099               SEDAL SH DUO REG 24X24X10ML                                            7791293003399 N              576 
7737001070017 109238               SEDAL SH CONTR HUMECT REG 24X24X10ML                                   7791293003344 N              576 
7737001070017 111749               REXONA DEO ROLLON CITRUS 12X53GR                                            78918603 N               12 
7737001070017 115766               CLOSE UP CD TRIPLE MENTA AMERICANA 12X90                               7891037013520 N               12 
7737001070017 115956               REXONA DEO STICK MAXIMUS 12X45GR                                            78009363 N               12 
7737001070017 118533               CIF LV VAJ ULTRA NARANJA 12X300ML                                      7791290781047 N               12 
7737001070017 118588               SUAVE SH RULOS DEFENIDOS 12X350ML                                      7898422740726 N               12 
7737001070017 118591               SUAVE SH LISO PERFECTO 12X350ML                                        7898422740764 N               12 
7737001070017 118612               SUAVE SH ANTICASPA 12X350ML                                            7898422740771 N               12 
7737001070017 118614               SUAVE AC RULOS DEFINIDOS 12X350ML                                      7898422740801 N               12 
7737001070017 118617               SUAVE AC LISO PERFECTO 12X350ML                                        7898422740832 N               12 
7737001070017 118937               KLEENEX PANUELO FAC SOFTPACK CH 72X45UN                                7798038151100 N               72 
7737001070017 118941               KLEENEX PANUELO FAC SOFTPACK GDE 48X45UN                               7798038151094 N               48 
7737001070017 118947               KLEENEX SOFTPK MINI CHICO 60X12UN                                      7798038151667 N               60 
7737001070017 118952               KLEENEX PAPEL HIG U S D HOJA 30MT 8X6UN                                7798038150790 N                8 
7737001070017 118977               KLEENEX PANUELO FAC CUBO C/AROMA 24X75UN                               7798038151698 N               24 
7737001070017 119280               DOVE SH ESSENTIAL CARE SCH 4X24X10ML                                   7791293005799 N               96 
7737001070017 119284               DOVE AC ESSENTIAL CARE SCH 4X24X10ML                                   7791293005812 N               96 
7737001070017 119288               DOVE SH THERAPY SCH 4X24X10ML                                          7791293005805 N               96 
7737001070017 119290               DOVE AC THERAPY SCH 4X24X10ML                                          7791293005829 N               96 
7737001070017 120116               PONDS LOC BIO HYDRATANTE SPF 12X200ML                                  7501056330361 S               12 
7737001070017 120117               PONDS LOC BIO HYDRATANTE DUAL 12X200ML                                 7501056330378 S               12 
7737001070017 120298               PONDS LOC TONICA ASTRING 12X200ML                                      7501056330385 S               12 
7737001070017 121694               LUX JAB CREAMY PERFECTION 72X125GR                                     7898422744632 N               72 
7737001070017 13035                REXONA DEO ROLLON COBALT 12X53GR (50ML)                                     78915237 N               12 
7737001070017 130916               REXONA DEO ROLLON CRYSTAL 12X53GR/50ML                                      78921030 N               12 
7737001070017 133167               LUX JAB DELICADEZA DE PETALOS 24X3X125GR                               7791293006536 N               24 
7737001070017 133169               LUX JAB PERFECCION CREMOSA 24X3X125GR                                  7791293006451 N               24 
7737001070017 133172               LUX JAB FRESCURA ENERGIZANTE 72X125GR                                  7791293006543 N               72 
7737001070017 136059               DOVE LOC HIDRATACION FRESCA 12X200ML                                   7898422745356 S               12 
7737001070017 137010               REXONA DEO STICK AP CRYSTAL 12X50GR                                         75021887 N               12 
7737001070017 138095               KIMBIES BASICO XGDE 14X8UN                                             7794626908460 N               14 
7737001070017 138098               KIMBIES BASICO GDE 5X40UN                                              7794626008511 N                5 
7737001070017 138101               KIMBIES BASICO GDE 14X10UN                                             7794626908453 N               14 
7737001070017 142236               SUAVE SH FRUVIT NORMAL 12X350ML                                        7791293007298 N               12 
7737001070017 142239               SUAVE AC FRUVIT NORMAL 12X350ML                                        7791293007335 N               12 
7737001070017 145189               CIF ANTIG REP ECON DOYP 12X500ML                                       7791290781849 N               12 
7737001070017 145192               CIF BANOS REP ECON DOYP 12X500ML                                       7791290781856 N               12 
7737001070017 145193               CIF VIDRIOS REP ECON DOYP 12X500ML                                     7791290781863 N               12 
7737001070017 146879               DOVE DEO STICK AP FRESH TOUCH 12X50GR                                       75022792 N               12 
7737001070017 146884               DOVE DEO AER AP CLEAR TONE 12X100GR                                    7791293008110 N               12 
7737001070017 147497               PONDS CR S 6X100GR                                                     7501056326142 S                6 
7737001070017 147498               PONDS CR BIOHIDRATANTE 6X100GR                                         7501056330330 S                6 
7737001070017 147508               PONDS CR REJUVENESS 6X100GR                                            7501056330491 S                6 
7737001070017 147510               PONDS CR C 6X100GR                                                     7501056324889 S                6 
7737001070017 147511               PONDS CR C 6X50GR                                                      7501056326265 S                6 
7737001070017 147523               PONDS CR REJUVENESS 6X50GR                                             7501056330484 S                6 
7737001070017 147525               PONDS CR S 6X50GR                                                      7501056325442 S                6 
7737001070017 147526               PONDS CR BIOHIDRATANTE 6X50GR                                          7501056330323 S                6 
7737001070017 147638               COMFORT SUAVIZ CLASSIC DOYP 12X900ML                                   7791290007987 N               12 
7737001070017 14862                REXONA DEO STICK AP BAMBOO 12X50GR                                          78004498 N               12 
7737001070017 14867                REXONA DEO ROLLON BAMBOO 12X53GR (50ML)                                     78915220 N               12 
7737001070017 148746               SCOTT PAPEL HIG PLUS PRACTICO 24X40UN                                  7751493002103 N               24 
7737001070017 149040               MIMOSA P D 40X40UN                                                     7736550002753 N               40 
7737001070017 149044               MIMOSA P D 60X20UN                                                     7806550813205 N               60 
7737001070017 149734               SUAVE AC MANZANA VERDE 8X930ML                                         7791293008394 N                8 
7737001070017 149736               SUAVE AC MULTIVITAMINAS E Y B 8X930ML                                  7791293008400 N                8 
7737001070017 149750               SUAVE SH MANZANA VERDE 8X930ML                                         7791293008349 N                8 
7737001070017 149751               SUAVE SH MULTIVITAMINAS E Y B 8X930ML                                  7791293008356 N                8 
7737001070017 149946               MIMOSA TOALLA FEM NORM ULTRA C/ALA 48X8U                               7793620400031 N               48 
7737001070017 150115               COMFORT SUAVIZ CR ES JOJOBA DOYP12X900ML                               7791290782198 N               12 
7737001070017 150117               COMFORT SUAVIZ CR ES ALMEND DOYP12X900ML                               7791290782204 N               12 
7737001070017 151745               DOVE JAB BLANCO 48X90GR                                                7898422746759 N               48 
7737001070017 151748               DOVE JAB REAFIRMANTE 48X90GR                                           7898422746810 N               48 
7737001070017 151750               DOVE JAB HIDRATACION FRESCA 48X90GR                                    7898422746803 N               48 
7737001070017 151752               DOVE JAB EXFOLIACION 48X90GR                                           7898422746827 N               48 
7737001070017 151859               PLENITUD TOALLA ADULTO DEP EXT EXP 24X8U                               7896007520329 N               24 
7737001070017 154057               PONDS CR H 6X50GR                                                      7501056325381 S                6 
7737001070017 154183               REXONA ACTR DEO AER AP FUN SPIRIT 12X60G                               7791293009131 N               12 
7737001070017 154815               REXONA DEO ROL T FUN SPIRIT 12X53GR/50ML                                    78921740 N               12 
7737001070017 154844               PLENITUD PROT ADULTO DEP U MINI 40X14UN                                7896007520237 N               40 
7737001070017 154845               PLENITUD TOALLA ADULTO DEP NORMAL 26X8UN                               7793620923202 N               26 
7737001070017 155192               AXE DEO STICK VICE 12X54GR                                                  75024499 N               12 
7737001070017 155440               DAYS TOALLA FEM ESENC S/ALAS DPK 24X16UN                               7736550098978 N               24 
7737001070017 155445               KOTEX DAYS TOALLA FEM MULTIF DPK 20X16UN                               7736550079113 N               20 
7737001070017 155676               REXONA JAB ANTIB FRESH 24X3X125G+15%DESC                               7730165319602 N               24 
7737001070017 155677               REXONA JAB ANTIB SENS 24X3X125G+15%DESC                                7730165319589 N               24 
7737001070017 155712               REXONA JAB ANTIB TONIC 24X3X125G+15%DESC                               7730165319596 N               24 
7737001070017 155748               AXE DEO ROLLON VICE 12X53GR/50ML                                            78921795 N               12 
7737001070017 157575               REXONA DEO AER AP V8 12X105GR                                          7791293009780 N               12 
7737001070017 158169               SEDAL AC SOS REPARACION?4X24X10ML                                      7791293990064 N               96 
7737001070017 158170               SEDAL SH?SOS REPARACION?4X24X15ML                                      7791293990088 N               96 
7737001070017 158639               IMPULSE DEO AER SIREN 12X53GR                                          7791293992167 N               12 
7737001070017 158642               IMPULSE DEO AER GODDESS 12X53GR                                        7791293992174 N               12 
7737001070017 158674               DOVE DEO STICK INVISIBLE DRY 12X50GR                                        75024765 N               12 
7737001070017 158680               DOVE CR AUTOBR SUMMER T MOR OSC 12X200ML                               7898422748647 N               12 
7737001070017 159749               IMPULSE DEO AER MUSK 12X103GR                                          7791293208886 N               12 
7737001070017 159753               IMPULSE DEO AER DYNAMIQUE 12X103GR                                     7791293208893 N               12 
7737001070017 160014               CIF POWER CREAM BANO DOYP 12X500ML                                     7791290782327 N               12 
7737001070017 160025               CIF POWER CREAM COCINA DOYP 12X500ML                                   7791290782341 N               12 
