GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7737001080016 100042               KNORR SOPA CASERA GAL C/LETRAS DPL2X8SOB                               7794000512115 N                8 
7737001080016 100042               KNORR SOPA CASERA GAL C/LETRAS DPL2X8SOB                               7794000512115 N               16 
7737001080016 100043               KNORR SOPA CAS VERD C/DEDA DPL2X8SOB                                   7794000522114 N                8 
7737001080016 100043               KNORR SOPA CAS VERD C/DEDA DPL2X8SOB                                   7794000522114 N               16 
7737001080016 100046               KNORR SOPA CAS GAL C/CAB ANGEL 2X8SOB                                  7794000524118 N                8 
7737001080016 100046               KNORR SOPA CAS GAL C/CAB ANGEL 2X8SOB                                  7794000524118 N               16 
7737001080016 100050               KNORR SOPA CAS CARNE C/CARACOLITO 2X8SOB                               7794000525115 N                8 
7737001080016 100050               KNORR SOPA CAS CARNE C/CARACOLITO 2X8SOB                               7794000525115 N               16 
7737001080016 100058               KNORR SOPA CR LIGHT VERD 2X8SOB                                        7794000537118 N                8 
7737001080016 100058               KNORR SOPA CR LIGHT VERD 2X8SOB                                        7794000537118 N               16 
7737001080016 100064               KNORR SOPA CR LIGHT CALAB 2X8SOB                                       7794000536111 N                8 
7737001080016 100064               KNORR SOPA CR LIGHT CALAB 2X8SOB                                       7794000536111 N               16 
7737001080016 100166               KNORR CDO CARNE DPL 16X10X6CUBOS                                       7794000501225 N               10 
7737001080016 100166               KNORR CDO CARNE DPL 16X10X6CUBOS                                       7794000501225 N              160 
7737001080016 100169               KNORR CDO GAL DPL 16X10X6CUBOS                                         7794000502222 N               10 
7737001080016 100169               KNORR CDO GAL DPL 16X10X6CUBOS                                         7794000502222 N              160 
7737001080016 100170               KNORR CDO VERD DPL 16X10X6CUBOS                                        7794000504226 N               10 
7737001080016 100170               KNORR CDO VERD DPL 16X10X6CUBOS                                        7794000504226 N              160 
7737001080016 100174               KNORR CDO PUCHERO DPL 16X10X6CUBOS                                     7794000508224 N               10 
7737001080016 100174               KNORR CDO PUCHERO DPL 16X10X6CUBOS                                     7794000508224 N              160 
7737001080016 103908               KNORR ARROZ PRIMAVERA DPL 8X215GR                                      7794000606111 N                8 
7737001080016 103913               KNORR SOPA QUICK CHAMPIGNON 24EST                                      7794000580411 S               24 
7737001080016 10703                ARISCO CDO GAL EST 160X3LT                                             7891700080415 S              160 
7737001080016 115675               KNORR CDO COSTILLA DPL 16X10X6CUBOS                                    7794000509238 N               10 
7737001080016 115675               KNORR CDO COSTILLA DPL 16X10X6CUBOS                                    7794000509238 N              160 
7737001080016 116130               HELLMANNS MAY LIBRE COLESTEROL 8X250GR                                 7794000471535 N                8 
7737001080016 116132               HELLMANNS MAY LIBRE COLESTEROL 15X500GR                                7794000471559 N               15 
7737001080016 11772                KNORR SOPA CR ARVEJA C/JAMON DPL 15SOB                                 7794000513112 N               15 
7737001080016 12197                KNORR SOPA CR ESPAR DPL 15SOB                                          7794000511118 N               15 
7737001080016 122561               FANACOA MAY DOYP 12X238GR                                              7794000482005 N               12 
7737001080016 12421                KNORR SOPA POLLO DPL 15SOB                                             7794000514119 N               15 
7737001080016 12423                KNORR SOPA CR VERD DPL 12SOB                                           7794000519114 N               12 
7737001080016 12428                KNORR SOPA CR ZAPA DPL 15SOB                                           7794000533110 N               15 
