GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001070017 174369               DOVE JAB REGULAR 24X2X135GR PRM 10% DESC                               DOVE                           PERSONAL CARE                  7730165322121     24 S     20070703T1008  A      
7737001070017 197998               SUAVE SH MANZ VERDE4X930M+AC930M+20%DESC                               SUAVE                          PERSONAL CARE                  7730165325054      4 S     20081001T1044  A      
7737001070017 212721               HUGGIES TOALLA HUM CLASSIC REP 24X70UN                                 HUGGIES                        KIMBERLY CLARK                 7861023204430     24 N     20091030T1720  A      
7737001070017 213232               PONDS CR S 6X100GR PRM CR S 50GR                                       PONDS                          PERSONAL CARE                  7730165326174      6 S     20150310T1000  A      
7737001070017 226191               REXONA EFFICIENT TALCO 6X200GR                                         EFFICIENT                      PERSONAL CARE                  7791293051130      6 N     20100810T1226  A      
7737001070017 227690               SUN PROGRESS LIQ ABRILLANTADOR 16X500CC                                SUN PROGRESS                   HOME CARE                      8711700045902     16 N     20101217T1313  A      
7737001070017 229922               HUGGIES TOALLA HUM CLAS 12X140UN+PR ESP                                HUGGIES                        KIMBERLY CLARK                 7736550069411     12 N     20160412T1534  A      
7737001070017 235422               SUAVE SH+AC COCO LECHE 4X930ML+20% DESC                                SUAVE                          PERSONAL CARE                  7730165329731      4 S     20150203T1645  A      
7737001070017 235423               SUAVE SH+AC MIEL ALMEND 4X930ML+20% DESC                               SUAVE                          PERSONAL CARE                  7730165329724      4 S     20150204T1148  A      
7737001070017 546059               CIF POWER CR BANO DOYP 15X450ML DOM                                    CIF                            HOME CARE                      7791290006829     15 N     20130628T1632  A      
7737001070017 546197               CIF POWER CR COCINA DOYP 15X450ML                                      CIF                            HOME CARE                      7791290006706     15 N     20130628T1632  A      
7737001070017 547829               VIM LVDINA EN GEL LAVANDA 12X750ML                                     VIM                            HOME CARE                      7791290007765     12 N     20130909T1227  D      
7737001070017 549321               DOVE SH OLEO NUTRIC 6X400ML PRM AC 200ML                               DOVE                           PERSONAL CARE                  7730165336487      6 S     20121210T1612  A      
7737001070017 553359               KOTEX TAMPONES SUPER 12X32UN PRM 2X1                                   KOTEX                          KIMBERLY CLARK                 7736550074361     12 S     20130131T1431  A      
7737001070017 553360               KOTEX TAMPONES MEDIO 12X32UN PRM 2X1                                   KOTEX                          KIMBERLY CLARK                 7736550074354     12 S     20130131T1431  A      
7737001070017 553362               KOTEX TAMPONES MINI 12X32UN PRM 2X1                                    KOTEX                          KIMBERLY CLARK                 7736550074347     12 S     20130131T1431  A      
7737001070017 553754               VASENOL RESC INT GELEIA VASELINA 12X100G                               VASENOL                        PERSONAL CARE                  7891150029323     12 N     20161103T1225  A      
7737001070017 554439               KOTEX TOALLA FEM NOCT 8X24UN PRM 3X2                                   KOTEX                          KIMBERLY CLARK                 7736550092846      8 S     20130327T1639  A      
7737001070017 555733               DOVE JAB LIQ KARITE 12X250ML                                           DOVE                           PERSONAL CARE                  7891150029293     12 N     20140430T1702  D      
7737001070017 555735               DOVE JAB LIQ COCO 12X250ML                                             DOVE                           PERSONAL CARE                  7891150029309     12 N     20170529T1523  D      
7737001070017 557190               NEVEX LV VAJ FR CITR 4X2X1.25L+VIM 300ML                               NEVEX                          HOME CARE                      7730165337385      4 S     20180810T1304  S      
7737001070017 557191               NEVEX LV VAJ LIM 4X2X1.25 L+VIM 300ML                                  NEVEX                          HOME CARE                      7730165337392      4 S     20180810T1304  S      
7737001070017 558359               CIF CR ORIG C/MICROPARTICULAS 16X150G                                  CIF                            HOME CARE                      7791290008496     16 N     20130731T1555  A      
7737001070017 558460               COMFORT CONCENTRADO ORIGINAL DOYP16X90ML                               COMFORT                        HOME CARE                      7791290008397     16 N     20140131T1708  S      
7737001070017 558876               VIVERE CONCENT CLASICO DOYP 15X450ML                                   VIVERE                         HOME CARE                      7791290008342     15 N     20131031T1703  D      
7737001070017 558881               COMFORT CONC ORIGINAL DOYP 15X450ML                                    COMFORT                        HOME CARE                      7791290008410     15 N     20131031T1703  D      
7737001070017 560374               REXONA DEO CR SOFT SOLID SPORT STR12X48G                               REXONA                         PERSONAL CARE                    79400300546     12 N     20150814T1654  A      
7737001070017 560380               REXONA DEO CR SOFT SOLID ULT FRESH12X48G                               REXONA                         PERSONAL CARE                    79400301895     12 N     20150814T1654  D      
7737001070017 562424               MIMOSA P D TRIPLEGADO 20X60UN   *** OSA ***                            MIMOSA                         KIMBERLY CLARK                 7793620001528     20 N     20130628T1632  A      
7737001070017 563012               HUGGIES LITTLE SWIM DISNEY SCU GDE8X10UN                               HUGGIES                        KIMBERLY CLARK                   36000393538      8 N     20131001T1110  A      
7737001070017 563013               HUGGIES LITTLE SWI DISNEY SCU MED 8X11UN                               HUGGIES                        KIMBERLY CLARK                   36000393521      8 N     20131001T1110  A      
7737001070017 563014               HUGGIES LITTLE SWI DISNEY SCU PEQ 8X12UN                               HUGGIES                        KIMBERLY CLARK                   36000393507      8 N     20131001T1110  A      
7737001070017 563270               DOVE AER AP ORIGINAL COMP 12X54G/85ML                                  DOVE                           PERSONAL CARE                       77941824     12 N     20150623T1123  D      
7737001070017 563272               DOVE AER AP INVIS DRY COMP 12X53G/85ML                                 DOVE                           PERSONAL CARE                       77941879     12 N     20150623T1123  D      
7737001070017 563276               REXONA AER AP ACT EMOTI COMP 12X56G/85ML                               REXONA                         PERSONAL CARE                       77942289     12 N     20150623T1123  D      
7737001070017 563280               DOVE AER AP PEPINO COMP 12X54G/85ML                                    DOVE                           PERSONAL CARE                       77941855     12 N     20150623T1123  D      
7737001070017 563283               REXONA AER AP BAMBOO COMP 12X56G/85ML                                  REXONA                         PERSONAL CARE                       77942241     12 N     20170627T1430  D      
7737001070017 563284               REXONA AER AP POWDER COMP 12X56G/85ML                                  REXONA                         PERSONAL CARE                       77942234     12 N     20160328T1204  D      
7737001070017 563285               REXONA AER AP COTTON COMP 12X56G/85ML                                  REXONA                         PERSONAL CARE                       77942227     12 N     20150623T1123  D      
7737001070017 563575               SKIP LIQ DOYP 12X500ML                                                 SKIP                           HOME CARE                      7791290785601     12 N     20131017T1314  D      
7737001070017 563713               COMFORT CONC ACEI ESEN ROMA DOYP15X450ML                               COMFORT                        HOME CARE                      7791290009349     15 N     20140313T1506  D      
7737001070017 563714               COMFORT CONC ACEI ESEN ENER DOYP15X450ML                               COMFORT                        HOME CARE                      7791290009356     15 N     20140313T1506  D      
7737001070017 563744               SKIP LIQ BOT 12X1L                                                     SKIP                           HOME CARE                      7791290782600     12 N     20131017T1314  D      
7737001070017 564224               DRIVE LIQ ROSAS Y LILAS BOT 4X3L                                       DRIVE                          HOME CARE                      7791290009462      4 N     20150930T1601  D      
7737001070017 564227               DRIVE DT LIQ HORTENSIA Y F BCA DP 8X1.5L                               DRIVE                          HOME CARE                      7791290009486      8 N     20180119T1157  A      
7737001070017 564466               DOVE DEO ROLLON ORIGINAL 12X50ML                                       DOVE                           PERSONAL CARE                       78924468     12 N     20140730T1555  D      
7737001070017 564561               LUX JAB LIQ BRISA FLORAL 12X220ML                                      LUX                            PERSONAL CARE                  7891150029743     12 N     20141031T1707  D      
